"","locations.impact","locations.control","sublocations.within.locations","times.before","times.after","subtimes.within.times","replicates","trials","effect","sig.outcomes"
"1",1,2,1,3,1,1,1,500,-0.2,0.04
"2",1,2,2,3,1,1,1,500,-0.2,0
"3",1,2,3,3,1,1,1,500,-0.2,0.12
"4",1,2,1,3,2,1,1,500,-0.2,0.05
"5",1,2,2,3,2,1,1,500,-0.2,0.06
"6",1,2,3,3,2,1,1,500,-0.2,0.09
"7",1,2,1,3,3,1,1,500,-0.2,0.08
"8",1,2,2,3,3,1,1,500,-0.2,0.12
"9",1,2,3,3,3,1,1,500,-0.2,0.16
"10",1,2,1,3,1,1,1,1500,-0.2,0.05
"11",1,2,2,3,1,1,1,1500,-0.2,0.2
"12",1,2,3,3,1,1,1,1500,-0.2,0.27
"13",1,2,1,3,2,1,1,1500,-0.2,0.11
"14",1,2,2,3,2,1,1,1500,-0.2,0.37
"15",1,2,3,3,2,1,1,1500,-0.2,0.62
"16",1,2,1,3,3,1,1,1500,-0.2,0.11
"17",1,2,2,3,3,1,1,1500,-0.2,0.44
"18",1,2,3,3,3,1,1,1500,-0.2,0.71
"19",1,2,1,3,1,1,1,2500,-0.2,0.13
"20",1,2,2,3,1,1,1,2500,-0.2,0.3
"21",1,2,3,3,1,1,1,2500,-0.2,0.57
"22",1,2,1,3,2,1,1,2500,-0.2,0.27
"23",1,2,2,3,2,1,1,2500,-0.2,0.72
"24",1,2,3,3,2,1,1,2500,-0.2,0.85
"25",1,2,1,3,3,1,1,2500,-0.2,0.32
"26",1,2,2,3,3,1,1,2500,-0.2,0.81
"27",1,2,3,3,3,1,1,2500,-0.2,0.91
"28",1,2,1,3,1,1,1,500,-0.4,0.14
"29",1,2,2,3,1,1,1,500,-0.4,0.44
"30",1,2,3,3,1,1,1,500,-0.4,0.74
"31",1,2,1,3,2,1,1,500,-0.4,0.27
"32",1,2,2,3,2,1,1,500,-0.4,0.75
"33",1,2,3,3,2,1,1,500,-0.4,0.92
"34",1,2,1,3,3,1,1,500,-0.4,0.53
"35",1,2,2,3,3,1,1,500,-0.4,0.81
"36",1,2,3,3,3,1,1,500,-0.4,0.99
"37",1,2,1,3,1,1,1,1500,-0.4,0.72
"38",1,2,2,3,1,1,1,1500,-0.4,0.95
"39",1,2,3,3,1,1,1,1500,-0.4,0.99
"40",1,2,1,3,2,1,1,1500,-0.4,0.94
"41",1,2,2,3,2,1,1,1500,-0.4,1
"42",1,2,3,3,2,1,1,1500,-0.4,1
"43",1,2,1,3,3,1,1,1500,-0.4,0.98
"44",1,2,2,3,3,1,1,1500,-0.4,1
"45",1,2,3,3,3,1,1,1500,-0.4,1
"46",1,2,1,3,1,1,1,2500,-0.4,0.89
"47",1,2,2,3,1,1,1,2500,-0.4,1
"48",1,2,3,3,1,1,1,2500,-0.4,1
"49",1,2,1,3,2,1,1,2500,-0.4,1
"50",1,2,2,3,2,1,1,2500,-0.4,1
"51",1,2,3,3,2,1,1,2500,-0.4,1
"52",1,2,1,3,3,1,1,2500,-0.4,0.99
"53",1,2,2,3,3,1,1,2500,-0.4,1
"54",1,2,3,3,3,1,1,2500,-0.4,1
"55",1,2,1,3,1,1,1,500,-0.6,0.67
"56",1,2,2,3,1,1,1,500,-0.6,0.94
"57",1,2,3,3,1,1,1,500,-0.6,1
"58",1,2,1,3,2,1,1,500,-0.6,0.94
"59",1,2,2,3,2,1,1,500,-0.6,0.99
"60",1,2,3,3,2,1,1,500,-0.6,1
"61",1,2,1,3,3,1,1,500,-0.6,0.95
"62",1,2,2,3,3,1,1,500,-0.6,1
"63",1,2,3,3,3,1,1,500,-0.6,1
"64",1,2,1,3,1,1,1,1500,-0.6,1
"65",1,2,2,3,1,1,1,1500,-0.6,1
"66",1,2,3,3,1,1,1,1500,-0.6,1
"67",1,2,1,3,2,1,1,1500,-0.6,1
"68",1,2,2,3,2,1,1,1500,-0.6,1
"69",1,2,3,3,2,1,1,1500,-0.6,1
"70",1,2,1,3,3,1,1,1500,-0.6,1
"71",1,2,2,3,3,1,1,1500,-0.6,1
"72",1,2,3,3,3,1,1,1500,-0.6,1
"73",1,2,1,3,1,1,1,2500,-0.6,0.99
"74",1,2,2,3,1,1,1,2500,-0.6,1
