"Model","Parameter","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode"
"Fitted model","BvAxCvIBefore - Control","0.116","0.241","-0.369","0.116","0.6","0.116"
"","BvAxCvIBefore - Impact","-2.131","0.341","-2.817","-2.131","-1.445","-2.131"
"","Precision for Location","11.218","12.664","1.017","7.43","44.444","2.773"
"","Precision for Time x Location","22396.281","20362.223","2292.367","16700.394","76476.197","6584.755"
"","Precision for sublocation","54.282","38.808","10.168","44.782","154.617","27.166"
"","Precision for  Time by sublocation","27794.657","27498.363","3311.092","19808.826","100361.78","9028.762"
"","Precision for Time","21185.868","19483.009","1977.498","15704.576","72899.703","5664.112"
"","Precision for repID","26633.584","25963.513","3079.511","19142.256","95313.529","8461.784"
"","","","","","","",""
"dic","p.eff","mean.deviance","deviance.mean","family.dic","family.p.eff","waic","waic.p.eff"
"159.957","7.422","152.534","145.112","159.957","7.422","155.828","2.643"
