"Model","Parameter","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode"
"Fitted model","BvAxCvIBefore - Control","-1.273","0.518","-2.316","-1.273","-0.229","-1.273"
"","BvAxCvIBefore - Impact","-2.324","0.733","-3.8","-2.324","-0.848","-2.324"
"","Precision for Location","18672.395","18409.715","1273.139","13241.413","67339.872","3482.931"
"","Precision for Time x Location","28475.785","29484.965","3229.811","19805.835","106619.242","8757.197"
"","Precision for sublocation","1.327","0.769","0.331","1.171","3.257","0.839"
"","Precision for  Time by sublocation","29679.168","31276.751","3506.229","20439.087","112225.192","9278.506"
"","Precision for Time","22570.172","21503.791","2189.516","16413.955","79550.43","6213.989"
"","Precision for repID","24073.462","23404.296","2439.335","17322.752","86267.249","6856.233"
"","","","","","","",""
"dic","p.eff","mean.deviance","deviance.mean","family.dic","family.p.eff","waic","waic.p.eff"
"153.17","7.406","145.765","138.359","153.17","7.406","149.097","2.67"
