"Model","Parameter","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode"
"Fitted model","BvAxCvIBefore - Control","-1.078","0.272","-1.622","-1.078","-0.533","-1.078"
"","BvAxCvIBefore - Impact","-1.548","0.243","-2.034","-1.547","-1.063","-1.547"
"","Precision for Location","18585.11","18350.467","1250.769","13163.753","67140.541","3409.236"
"","Precision for Time x Location","24218.975","24230.064","2384.098","17160.561","88736.638","6694.532"
"","Precision for sublocation","4.395","2.162","1.418","4.006","9.664","3.207"
"","Precision for  Time by sublocation","19894.995","18919.58","1640.637","14466.499","69876.933","4659.655"
"","Precision for Time","25384.985","25626.697","2669.887","17911.724","93593.594","7369.357"
"","Precision for repID","20365.917","19397.961","1700.695","14801.938","71847.995","4828.658"
"","","","","","","",""
"dic","p.eff","mean.deviance","deviance.mean","family.dic","family.p.eff","waic","waic.p.eff"
"182.07","9.545","172.525","162.98","182.07","9.545","174.656","1.788"
