"","locations.impact","locations.control","sublocations.within.locations","times.before","times.after","subtimes.within.times","replicates","trials","effect","sig.outcomes"
"1",1,2,1,3,1,1,1,125,-0.2,0.0125
"2",1,2,2,3,1,1,1,125,-0.2,0.0175
"3",1,2,3,3,1,1,1,125,-0.2,0.035
"4",1,2,1,3,2,1,1,125,-0.2,0.0225
"5",1,2,2,3,2,1,1,125,-0.2,0.0425
"6",1,2,3,3,2,1,1,125,-0.2,0.085
"7",1,2,1,3,3,1,1,125,-0.2,0.02
"8",1,2,2,3,3,1,1,125,-0.2,0.0575
"9",1,2,3,3,3,1,1,125,-0.2,0.105
"10",1,2,1,3,1,1,1,250,-0.2,0.02
"11",1,2,2,3,1,1,1,250,-0.2,0.055
"12",1,2,3,3,1,1,1,250,-0.2,0.09
"13",1,2,1,3,2,1,1,250,-0.2,0.0475
"14",1,2,2,3,2,1,1,250,-0.2,0.07
"15",1,2,3,3,2,1,1,250,-0.2,0.1925
"16",1,2,1,3,3,1,1,250,-0.2,0.0475
"17",1,2,2,3,3,1,1,250,-0.2,0.115
"18",1,2,3,3,3,1,1,250,-0.2,0.2275
"19",1,2,1,3,1,1,1,500,-0.2,0.0475
"20",1,2,2,3,1,1,1,500,-0.2,0.11
"21",1,2,3,3,1,1,1,500,-0.2,0.24
"22",1,2,1,3,2,1,1,500,-0.2,0.11
"23",1,2,2,3,2,1,1,500,-0.2,0.295
"24",1,2,3,3,2,1,1,500,-0.2,0.51
"25",1,2,1,3,3,1,1,500,-0.2,0.145
"26",1,2,2,3,3,1,1,500,-0.2,0.3975
"27",1,2,3,3,3,1,1,500,-0.2,0.6125
"28",1,2,1,3,1,1,1,125,-0.4,0.11
"29",1,2,2,3,1,1,1,125,-0.4,0.26
"30",1,2,3,3,1,1,1,125,-0.4,0.3675
"31",1,2,1,3,2,1,1,125,-0.4,0.1775
"32",1,2,2,3,2,1,1,125,-0.4,0.47
"33",1,2,3,3,2,1,1,125,-0.4,0.6575
"34",1,2,1,3,3,1,1,125,-0.4,0.2225
"35",1,2,2,3,3,1,1,125,-0.4,0.5575
"36",1,2,3,3,3,1,1,125,-0.4,0.84
"37",1,2,1,3,1,1,1,250,-0.4,0.2675
"38",1,2,2,3,1,1,1,250,-0.4,0.53
