"Model","Parameter","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode"
"Fitted model","BvAxCvIBefore - Control","-1.573","0.46","-2.492","-1.573","-0.655","-1.573"
"","BvAxCvIBefore - Impact","-2.63","0.44","-3.537","-2.619","-1.782","-2.6"
"","Precision for Location","18721.407","18474.375","1297.339","13275.722","67503.975","3549.849"
"","Precision for Time x Location","26772.053","27410.7","2919.728","18740.643","98702.911","8008.735"
"","Precision for sublocation","0.828","0.381","0.296","0.76","1.763","0.629"
"","Precision for  Time by sublocation","22371.957","21382.397","2136.327","16245.383","79230.265","6074.826"
"","Precision for Time","25496.5","25713.94","2639.901","17997.076","93869.747","7327.468"
"","Precision for repID","20607.896","19203.976","1837.007","15164.492","71499.24","5243.123"
"","","","","","","",""
"dic","p.eff","mean.deviance","deviance.mean","family.dic","family.p.eff","waic","waic.p.eff"
"286.578","15.947","270.63","254.683","286.578","15.947","275.173","3.821"
