"Model","Parameter","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode"
"Fitted model","BvAxCvIBefore - Control","-1.716","0.932","-3.592","-1.716","0.161","-1.717"
"","BvAxCvIBefore - Impact","-1.627","1.317","-4.279","-1.627","1.026","-1.627"
"","Precision for Location","19093.306","18852.441","1390.784","13563.186","68677.074","3872.717"
"","Precision for Time x Location","20412.748","19814.39","1705.705","14678.762","73217.359","4820.948"
"","Precision for sublocation","0.411","0.237","0.102","0.363","1.005","0.26"
"","Precision for  Time by sublocation","21238.241","20596.545","1863.973","15288.045","76201.995","5281.312"
"","Precision for Time","21380.256","19700.877","2009.454","15831.648","73737.514","5745.103"
"","Precision for repID","20035.488","19168.576","1639.792","14520.686","70804.968","4648.92"
"","","","","","","",""
"dic","p.eff","mean.deviance","deviance.mean","family.dic","family.p.eff","waic","waic.p.eff"
"153.588","7.544","146.044","138.5","153.588","7.544","151.666","4.449"
