"Model","Parameter","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode"
"Fitted model","BvAxCvIBefore - Control","-0.079","0.175","-0.431","-0.079","0.274","-0.079"
"","BvAxCvIBefore - Impact","0.627","0.248","0.128","0.627","1.126","0.627"
"","Precision for Location","18622.045","18367.157","1269.027","13202.623","67188.353","3470.558"
"","Precision for Time x Location","22465.679","20420.144","2325.971","16753.193","76706.716","6671.528"
"","Precision for sublocation","11.843","6.916","2.923","10.429","29.223","7.432"
"","Precision for  Time by sublocation","22373.929","20640.583","2270.061","16554.704","77219.637","6493.029"
"","Precision for Time","22228.128","20194.12","2235.389","16583.447","75872.767","6419.516"
"","Precision for repID","22485.183","20640.765","2332.287","16679.794","77323.18","6671.02"
"","","","","","","",""
"dic","p.eff","mean.deviance","deviance.mean","family.dic","family.p.eff","waic","waic.p.eff"
"168.891","8.095","160.796","152.702","168.891","8.095","165.84","3.966"
