"Model","Parameter","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode"
"Fitted model","BvAxCvIBefore - Control","-2.426","1.764","-5.994","-2.42","1.111","-2.409"
"","BvAxCvIBefore - Impact","-1.666","2.481","-6.662","-1.667","3.34","-1.669"
"","Precision for Location","18535.651","18323.1","1267.033","13125.899","67005.926","3460.108"
"","Precision for Time x Location","21152.617","20437.235","1824.753","15255.341","75694.803","5167.08"
"","Precision for sublocation","0.117","0.069","0.028","0.102","0.29","0.072"
"","Precision for  Time by sublocation","24436.282","24443.898","2402.132","17315.649","89511.166","6745.278"
"","Precision for Time","24339.713","24119.144","2457.401","17337.908","88529.493","6910.054"
"","Precision for repID","19283.508","18701.29","1422.172","13829.81","68443.763","3936.572"
"","","","","","","",""
"dic","p.eff","mean.deviance","deviance.mean","family.dic","family.p.eff","waic","waic.p.eff"
"141.156","7.543","133.613","126.07","141.156","7.543","139.764","4.855"
