"","locations.impact","locations.control","sublocations.within.locations","times.before","times.after","subtimes.within.times","replicates","trials","effect","sig.outcomes"
"1",1,2,1,3,1,1,1,500,-0.2,0.1625
"2",1,2,2,3,1,1,1,500,-0.2,0.3025
"3",1,2,3,3,1,1,1,500,-0.2,0.305
"4",1,2,1,3,2,1,1,500,-0.2,0.2025
"5",1,2,2,3,2,1,1,500,-0.2,0.4175
"6",1,2,3,3,2,1,1,500,-0.2,0.4775
"7",1,2,1,3,3,1,1,500,-0.2,0.24
"8",1,2,2,3,3,1,1,500,-0.2,0.495
"9",1,2,3,3,3,1,1,500,-0.2,0.5925
"10",1,2,1,3,1,1,1,1500,-0.2,0.28
"11",1,2,2,3,1,1,1,1500,-0.2,0.575
"12",1,2,3,3,1,1,1,1500,-0.2,0.7
"13",1,2,1,3,2,1,1,1500,-0.2,0.4375
"14",1,2,2,3,2,1,1,1500,-0.2,0.8075
"15",1,2,3,3,2,1,1,1500,-0.2,0.8425
"16",1,2,1,3,3,1,1,1500,-0.2,0.5125
"17",1,2,2,3,3,1,1,1500,-0.2,0.8825
"18",1,2,3,3,3,1,1,1500,-0.2,0.9325
"19",1,2,1,3,1,1,1,2500,-0.2,0.3925
"20",1,2,2,3,1,1,1,2500,-0.2,0.79
"21",1,2,3,3,1,1,1,2500,-0.2,0.8575
"22",1,2,1,3,2,1,1,2500,-0.2,0.5875
"23",1,2,2,3,2,1,1,2500,-0.2,0.93
"24",1,2,3,3,2,1,1,2500,-0.2,0.935
"25",1,2,1,3,3,1,1,2500,-0.2,0.65
"26",1,2,2,3,3,1,1,2500,-0.2,0.965
"27",1,2,3,3,3,1,1,2500,-0.2,0.9875
"28",1,2,1,3,1,1,1,500,-0.4,0.5175
"29",1,2,2,3,1,1,1,500,-0.4,0.88
"30",1,2,3,3,1,1,1,500,-0.4,0.9125
"31",1,2,1,3,2,1,1,500,-0.4,0.615
"32",1,2,2,3,2,1,1,500,-0.4,0.9725
"33",1,2,3,3,2,1,1,500,-0.4,0.9825
"34",1,2,1,3,3,1,1,500,-0.4,0.7
"35",1,2,2,3,3,1,1,500,-0.4,0.9925
"36",1,2,3,3,3,1,1,500,-0.4,0.9975
"37",1,2,1,3,1,1,1,1500,-0.4,0.785
"38",1,2,2,3,1,1,1,1500,-0.4,1
"39",1,2,3,3,1,1,1,1500,-0.4,0.9975
"40",1,2,1,3,2,1,1,1500,-0.4,0.8625
"41",1,2,2,3,2,1,1,1500,-0.4,1
"42",1,2,3,3,2,1,1,1500,-0.4,1
"43",1,2,1,3,3,1,1,1500,-0.4,0.945
"44",1,2,2,3,3,1,1,1500,-0.4,1
"45",1,2,3,3,3,1,1,1500,-0.4,1
"46",1,2,1,3,1,1,1,2500,-0.4,0.8625
"47",1,2,2,3,1,1,1,2500,-0.4,0.9975
"48",1,2,3,3,1,1,1,2500,-0.4,1
"49",1,2,1,3,2,1,1,2500,-0.4,0.98
"50",1,2,2,3,2,1,1,2500,-0.4,1
"51",1,2,3,3,2,1,1,2500,-0.4,0.9975
"52",1,2,1,3,3,1,1,2500,-0.4,0.99
"53",1,2,2,3,3,1,1,2500,-0.4,1
"54",1,2,3,3,3,1,1,2500,-0.4,1
"55",1,2,1,3,1,1,1,500,-0.6,0.7575
"56",1,2,2,3,1,1,1,500,-0.6,0.9975
"57",1,2,3,3,1,1,1,500,-0.6,1
"58",1,2,1,3,2,1,1,500,-0.6,0.895
"59",1,2,2,3,2,1,1,500,-0.6,1
"60",1,2,3,3,2,1,1,500,-0.6,1
"61",1,2,1,3,3,1,1,500,-0.6,0.9
"62",1,2,2,3,3,1,1,500,-0.6,1
"63",1,2,3,3,3,1,1,500,-0.6,1
"64",1,2,1,3,1,1,1,1500,-0.6,0.9775
"65",1,2,2,3,1,1,1,1500,-0.6,1
