"","locations.impact","locations.control","sublocations.within.locations","times.before","times.after","subtimes.within.times","replicates","trials","effect","sig.outcomes"
"1",1,2,1,3,1,1,1,500,-0.2,0.0133333333333333
"2",1,2,2,3,1,1,1,500,-0.2,0.04
"3",1,2,3,3,1,1,1,500,-0.2,0.0733333333333333
"4",1,2,1,3,2,1,1,500,-0.2,0.04
"5",1,2,2,3,2,1,1,500,-0.2,0.0733333333333333
"6",1,2,3,3,2,1,1,500,-0.2,0.106666666666667
"7",1,2,1,3,3,1,1,500,-0.2,0.0333333333333333
"8",1,2,2,3,3,1,1,500,-0.2,0.0866666666666667
"9",1,2,3,3,3,1,1,500,-0.2,0.18
"10",1,2,1,3,1,1,1,1500,-0.2,0.06
"11",1,2,2,3,1,1,1,1500,-0.2,0.193333333333333
"12",1,2,3,3,1,1,1,1500,-0.2,0.373333333333333
"13",1,2,1,3,2,1,1,1500,-0.2,0.113333333333333
"14",1,2,2,3,2,1,1,1500,-0.2,0.313333333333333
"15",1,2,3,3,2,1,1,1500,-0.2,0.58
"16",1,2,1,3,3,1,1,1500,-0.2,0.193333333333333
"17",1,2,2,3,3,1,1,1500,-0.2,0.56
"18",1,2,3,3,3,1,1,1500,-0.2,0.7
"19",1,2,1,3,1,1,1,2500,-0.2,0.1
"20",1,2,2,3,1,1,1,2500,-0.2,0.4
"21",1,2,3,3,1,1,1,2500,-0.2,0.626666666666667
"22",1,2,1,3,2,1,1,2500,-0.2,0.266666666666667
"23",1,2,2,3,2,1,1,2500,-0.2,0.673333333333333
"24",1,2,3,3,2,1,1,2500,-0.2,0.906666666666667
"25",1,2,1,3,3,1,1,2500,-0.2,0.4
"26",1,2,2,3,3,1,1,2500,-0.2,0.82
"27",1,2,3,3,3,1,1,2500,-0.2,0.953333333333333
"28",1,2,1,3,1,1,1,500,-0.4,0.193333333333333
"29",1,2,2,3,1,1,1,500,-0.4,0.44
"30",1,2,3,3,1,1,1,500,-0.4,0.586666666666667
"31",1,2,1,3,2,1,1,500,-0.4,0.346666666666667
"32",1,2,2,3,2,1,1,500,-0.4,0.68
"33",1,2,3,3,2,1,1,500,-0.4,0.92
"34",1,2,1,3,3,1,1,500,-0.4,0.386666666666667
"35",1,2,2,3,3,1,1,500,-0.4,0.84
"36",1,2,3,3,3,1,1,500,-0.4,0.973333333333333
"37",1,2,1,3,1,1,1,1500,-0.4,0.7
"38",1,2,2,3,1,1,1,1500,-0.4,0.96
"39",1,2,3,3,1,1,1,1500,-0.4,1
"40",1,2,1,3,2,1,1,1500,-0.4,0.846666666666667
"41",1,2,2,3,2,1,1,1500,-0.4,1
"42",1,2,3,3,2,1,1,1500,-0.4,1
"43",1,2,1,3,3,1,1,1500,-0.4,0.986666666666667
"44",1,2,2,3,3,1,1,1500,-0.4,1
"45",1,2,3,3,3,1,1,1500,-0.4,1
"46",1,2,1,3,1,1,1,2500,-0.4,0.893333333333333
"47",1,2,2,3,1,1,1,2500,-0.4,1
"48",1,2,3,3,1,1,1,2500,-0.4,1
"49",1,2,1,3,2,1,1,2500,-0.4,0.98
"50",1,2,2,3,2,1,1,2500,-0.4,1
"51",1,2,3,3,2,1,1,2500,-0.4,1
"52",1,2,1,3,3,1,1,2500,-0.4,1
"53",1,2,2,3,3,1,1,2500,-0.4,1
"54",1,2,3,3,3,1,1,2500,-0.4,1
"55",1,2,1,3,1,1,1,500,-0.6,0.633333333333333
"56",1,2,2,3,1,1,1,500,-0.6,0.953333333333333
"57",1,2,3,3,1,1,1,500,-0.6,0.993333333333333
"58",1,2,1,3,2,1,1,500,-0.6,0.933333333333333
"59",1,2,2,3,2,1,1,500,-0.6,1
"60",1,2,3,3,2,1,1,500,-0.6,1
"61",1,2,1,3,3,1,1,500,-0.6,0.96
"62",1,2,2,3,3,1,1,500,-0.6,1
"63",1,2,3,3,3,1,1,500,-0.6,1
"64",1,2,1,3,1,1,1,1500,-0.6,0.986666666666667
"65",1,2,2,3,1,1,1,1500,-0.6,1
"66",1,2,3,3,1,1,1,1500,-0.6,1
"67",1,2,1,3,2,1,1,1500,-0.6,1
"68",1,2,2,3,2,1,1,1500,-0.6,1
"69",1,2,3,3,2,1,1,1500,-0.6,1
"70",1,2,1,3,3,1,1,1500,-0.6,1
"71",1,2,2,3,3,1,1,1500,-0.6,1
"72",1,2,3,3,3,1,1,1500,-0.6,1
"73",1,2,1,3,1,1,1,2500,-0.6,0.993333333333333
"74",1,2,2,3,1,1,1,2500,-0.6,1
"75",1,2,3,3,1,1,1,2500,-0.6,1
"76",1,2,1,3,2,1,1,2500,-0.6,1
"77",1,2,2,3,2,1,1,2500,-0.6,1
"78",1,2,3,3,2,1,1,2500,-0.6,1
"79",1,2,1,3,3,1,1,2500,-0.6,1
"80",1,2,2,3,3,1,1,2500,-0.6,1
"81",1,2,3,3,3,1,1,2500,-0.6,1
"82",1,2,1,3,1,1,1,500,-0.8,0.986666666666667
"83",1,2,2,3,1,1,1,500,-0.8,1
"84",1,2,3,3,1,1,1,500,-0.8,1
"85",1,2,1,3,2,1,1,500,-0.8,1
"86",1,2,2,3,2,1,1,500,-0.8,1
"87",1,2,3,3,2,1,1,500,-0.8,1
"88",1,2,1,3,3,1,1,500,-0.8,1
"89",1,2,2,3,3,1,1,500,-0.8,1
"90",1,2,3,3,3,1,1,500,-0.8,1
"91",1,2,1,3,1,1,1,1500,-0.8,1
"92",1,2,2,3,1,1,1,1500,-0.8,1
"93",1,2,3,3,1,1,1,1500,-0.8,1
"94",1,2,1,3,2,1,1,1500,-0.8,1
"95",1,2,2,3,2,1,1,1500,-0.8,1
"96",1,2,3,3,2,1,1,1500,-0.8,1
"97",1,2,1,3,3,1,1,1500,-0.8,1
"98",1,2,2,3,3,1,1,1500,-0.8,1
"99",1,2,3,3,3,1,1,1500,-0.8,1
"100",1,2,1,3,1,1,1,2500,-0.8,1
"101",1,2,2,3,1,1,1,2500,-0.8,1
"102",1,2,3,3,1,1,1,2500,-0.8,1
"103",1,2,1,3,2,1,1,2500,-0.8,1
"104",1,2,2,3,2,1,1,2500,-0.8,1
"105",1,2,3,3,2,1,1,2500,-0.8,1
"106",1,2,1,3,3,1,1,2500,-0.8,1
"107",1,2,2,3,3,1,1,2500,-0.8,1
"108",1,2,3,3,3,1,1,2500,-0.8,1
